product_category_name_english,orders_sales,items,revenue,freight,orders_satisfaction,average_rating,negative_rate,one_star_rate
costruction_tools_tools,97,103,15903.95,2030.22,97,4.444444444444445,8.080808080808081,8.080808080808081
food_drink,227,278,15179.48,4507.99,227,4.315412186379929,7.885304659498208,6.093189964157706
fashion_male_clothing,112,132,10797.82,2152.41,112,3.6412213740458017,28.24427480916031,25.954198473282442
fashion_underwear_beach,121,131,9541.55,1916.19,121,3.976923076923077,17.692307692307693,11.538461538461538
christmas_supplies,128,153,8800.82,3229.2999999999997,128,4.02054794520548,14.383561643835616,13.013698630136986
tablets_printing_image,79,83,7528.41,1226.2,79,4.1234567901234565,13.580246913580247,6.172839506172839
cine_photo,65,72,6933.46,1256.2,65,4.205479452054795,15.068493150684931,12.32876712328767
music,38,38,6034.35,690.51,38,4.2105263157894735,10.526315789473683,10.526315789473683
dvds_blu_ray,59,64,5999.39,1288.74,59,4.079365079365079,17.46031746031746,15.873015873015872
books_imported,53,60,4639.85,769.85,53,4.4,11.666666666666666,10.0
party_supplies,39,43,4485.18,827.97,39,3.7674418604651163,23.25581395348837,18.6046511627907
furniture_mattress_and_upholstery,38,38,4368.08,1630.46,38,3.8157894736842106,21.052631578947366,18.421052631578945
fashio_female_clothing,39,48,2803.64,621.75,39,3.78,18.0,12.0
fashion_sport,27,30,2119.51,578.13,27,4.258064516129032,9.67741935483871,6.451612903225806
la_cuisine,13,14,2054.99,333.55,13,4.0,23.076923076923077,23.076923076923077
arts_and_craftmanship,23,24,1814.01,370.13,23,4.125,12.5,12.5
diapers_and_hygiene,27,39,1567.59,573.68,27,3.2564102564102564,25.64102564102564,25.64102564102564
flowers,29,33,1110.04,488.87,29,4.419354838709677,6.451612903225806,6.451612903225806
home_comfort_2,24,30,760.27,410.31,24,3.6296296296296298,25.925925925925924,22.22222222222222
cds_dvds_musicals,12,14,730.0,224.98999999999998,12,4.642857142857143,0.0,0.0
fashion_childrens_clothes,8,8,569.85,95.51,8,4.5,12.5,12.5
security_and_services,2,2,283.28999999999996,41.22,2,2.5,50.0,50.0
